INDEX,t-SNE 1 (3D),t-SNE 2 (3D),t-SNE 3 (3D)
AC_1,-70.59697678645544,52.5045371311484,48.82669754973993
AC_2,-62.82246193382428,59.65338504816272,40.939565133708626
AC_3,-62.74463235371293,59.689451600125615,40.784121677016714
AC_4,-62.651787914553914,59.741328870483784,40.41953789309318
AC_5,-62.49475634448797,59.79247066143449,40.114963906132516
AC_6,-62.3977927973957,59.81991746405475,39.98142655464167
AC_7,-62.310628573258086,59.84342105500665,39.869076318158356
AC_8,-62.24940545696284,59.855450590830394,39.83198633351461
AC_9,-62.2631926047699,59.856212813265785,39.81375145316072
AC_10,-62.30756575671317,59.8514321898034,39.75839351359023
AC_11,-62.414794794871426,59.85035281694808,39.66723604448187
AC_12,-62.595873720710685,59.82815103215399,39.5433074342992
AC_13,-62.70379010153414,59.82661224880894,39.46998261526277
AC_14,-63.02900336586328,59.79111005646994,39.284799973438616
AC_15,-63.24097711523588,59.77263802409888,39.15214837058681
AC_16,-63.49017211582512,59.74224442840464,39.04133739319137
AC_17,-63.87150733569841,59.69332626446921,38.880778344343845
API_1,-14.796773085993038,24.740553665571838,85.85750438450432
API_2,-15.40153502060605,14.447112964034552,90.97284672183866
API_3,-14.951894116184032,24.542383143649463,85.63542094089165
API_4,-15.432165699198052,14.37995021381177,90.9359670200212
API_5,-15.143498454072086,24.22549966370837,85.39367106091545
API_6,-15.494220888484943,14.25557860449366,90.97012532306627
API_7,-15.281971276579954,24.000260601778017,85.16249770111838
API_8,-15.55964968722198,14.202152140634368,90.92815212764906
API_9,-15.400471606616724,23.771263599787133,84.88700528221425
API_10,-15.709202064491407,14.025033743875191,90.82850787700237
API_11,-15.48583279038993,23.57158583182926,84.67308181722899
API_12,-15.750918229945835,13.994198724724265,90.73125072055373
API_13,-15.568365208943106,23.32279922509986,84.37685627350342
API_14,-15.827629305924917,13.89451202673912,90.6330909831138
API_15,-15.556522564264277,22.89661348236313,83.97537944929168
API_16,-15.883311292985267,13.877880944475915,90.48564076377095
API_17,-15.57488013862961,22.48862674758321,83.62835761036183
API_18,-15.936885850009531,13.87852727800866,90.28148013256978
API_19,-15.539979804698005,22.15442112481521,83.33606138679059
API_20,-15.976648296081756,13.891205922471295,90.13144168393676
API_21,-15.471144374949438,21.89025668545492,83.09494118954147
API_22,-15.99747537919453,13.907227579290398,90.03928887435532
